■ 지역별 점유율,,,,,,,,,,,,
- 조회일: 2021-08-18,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,
▶ 검색조건 [ 조회기간 : 2021-06-25~2021-06-30 ],,,,,,,,,,,,
지역,한국영화,,,,외국영화,,,,전체,,,
,상영편수,매출액,관객수,점유율,상영편수,매출액,관객수,점유율,상영편수,매출액,관객수,점유율
서울시,41,"822,705,790","89,559",21.3%,78,"2,347,478,810","246,739",31.9%,119,"3,170,184,600","336,298",28.1%
경기도,24,"874,223,280","93,186",22.1%,41,"1,810,924,400","190,611",24.6%,65,"2,685,147,680","283,797",23.7%
부산시,21,"355,215,120","38,460",9.1%,38,"471,657,360","51,637",6.7%,59,"826,872,480","90,097",7.5%
인천시,18,"223,126,140","23,235",5.5%,36,"365,629,740","38,615",5.0%,54,"588,755,880","61,850",5.2%
경상남도,21,"235,373,490","26,950",6.4%,31,"276,067,000","31,529",4.1%,52,"511,440,490","58,479",4.9%
대구시,17,"203,478,930","22,446",5.3%,24,"312,666,390","34,030",4.4%,41,"516,145,320","56,476",4.7%
광주시,19,"154,178,380","17,727",4.2%,21,"215,802,120","23,807",3.1%,40,"369,980,500","41,534",3.5%
대전시,15,"147,648,000","15,739",3.7%,24,"235,952,480","25,256",3.3%,39,"383,600,480","40,995",3.4%
충청남도,17,"142,900,230","15,352",3.6%,32,"209,676,120","22,030",2.8%,49,"352,576,350","37,382",3.1%
경상북도,19,"141,521,710","15,908",3.8%,43,"179,416,710","20,110",2.6%,62,"320,938,420","36,018",3.0%
전라북도,16,"123,513,270","14,135",3.4%,34,"179,596,850","20,036",2.6%,50,"303,110,120","34,171",2.9%
충청북도,9,"112,959,360","12,301",2.9%,22,"163,968,550","17,663",2.3%,31,"276,927,910","29,964",2.5%
울산시,8,"88,468,630","9,734",2.3%,22,"127,925,380","13,608",1.8%,30,"216,394,010","23,342",2.0%
강원도,13,"82,694,210","9,780",2.3%,22,"125,441,170","14,086",1.8%,35,"208,135,380","23,866",2.0%
전라남도,8,"91,333,070","9,917",2.4%,16,"119,560,050","12,882",1.7%,24,"210,893,120","22,799",1.9%
제주도,6,"41,925,800","4,554",1.1%,12,"70,158,100","7,367",1.0%,18,"112,083,900","11,921",1.0%
세종시,5,"20,525,970","2,258",0.5%,11,"41,738,140","4,539",0.6%,16,"62,264,110","6,797",0.6%
합계,277,"3,861,791,380","421,241",100%,507,"7,253,659,370","774,545",100%,784,"11,115,450,750","1,195,786",100%
