,지역,매출액,관객수,주
7,부산시,"513,370,590","56,521",2021-03-12
7,부산시,"513,370,590","56,521",2021-03-12
7,부산시,"438,756,130","48,866",2021-03-19
7,부산시,"425,217,210","46,215",2021-03-26
7,부산시,"522,446,130","60,290",2021-04-02
7,부산시,"395,182,360","43,284",2021-04-09
7,부산시,"314,571,750","35,267",2021-04-16
7,부산시,"390,483,590","42,905",2021-04-23
7,부산시,"445,720,640","51,929",2021-04-30
7,부산시,"321,925,980","35,956",2021-05-07
7,부산시,"691,293,590","74,418",2021-05-14
7,부산시,"814,105,630","90,495",2021-05-21
7,부산시,"733,089,700","79,243",2021-05-28
7,부산시,"780,069,950","82,722",2021-06-04
7,부산시,"679,511,920","71,450",2021-06-11
7,부산시,"858,280,140","89,771",2021-06-18
7,부산시,"919,900,780","100,109",2021-06-25
