,지역,매출액,관객수,주
5,서울시,"2,370,034,110","245,237",2021-03-12
5,서울시,"2,370,034,110","245,237",2021-03-12
5,서울시,"2,089,378,170","221,908",2021-03-19
5,서울시,"2,156,717,370","223,590",2021-03-26
5,서울시,"2,394,668,990","261,118",2021-04-02
5,서울시,"1,826,626,560","193,633",2021-04-09
5,서울시,"1,481,982,720","158,687",2021-04-16
5,서울시,"1,709,790,330","183,278",2021-04-23
5,서울시,"1,796,128,240","207,101",2021-04-30
5,서울시,"1,365,881,880","148,365",2021-05-07
5,서울시,"2,551,193,710","266,485",2021-05-14
5,서울시,"2,886,481,360","310,014",2021-05-21
5,서울시,"3,308,331,430","345,848",2021-05-28
5,서울시,"3,216,698,320","327,510",2021-06-04
5,서울시,"3,014,873,260","312,236",2021-06-11
5,서울시,"3,675,390,440","377,430",2021-06-18
5,서울시,"3,479,932,990","368,983",2021-06-25

