,지역,매출액,관객수,주,1차접종누계,2차접종누계
0,부산시,1114537230,123943,2020-08-16,,
1,부산시,618924290,71890,2020-08-23,,
2,부산시,467448880,53630,2020-08-30,,
3,부산시,401747560,45878,2020-09-06,,
4,부산시,350543860,40374,2020-09-13,,
5,부산시,369444420,43470,2020-09-20,,
6,부산시,1270147320,137503,2020-09-27,,
7,부산시,677889690,74197,2020-10-04,,
8,부산시,425792690,46497,2020-10-11,,
9,부산시,517480560,57976,2020-10-18,,
10,부산시,610113200,72140,2020-10-25,,
11,부산시,714585170,80006,2020-11-01,,
12,부산시,709390750,79471,2020-11-08,,
13,부산시,615709150,70033,2020-11-15,,
14,부산시,418791390,49512,2020-11-22,,
15,부산시,231147290,27151,2020-11-29,,
16,부산시,179772960,20889,2020-12-06,,
17,부산시,137530150,16161,2020-12-13,,
18,부산시,263412500,30494,2020-12-20,,
19,부산시,162778220,20138,2020-12-27,,
20,부산시,133154520,15720,2021-01-01,,
21,부산시,90327570,10890,2021-01-08,,
22,부산시,139130900,16832,2021-01-15,,
23,부산시,381529810,45703,2021-01-22,,
24,부산시,467990770,52508,2021-01-29,,
25,부산시,553603860,60887,2021-02-05,,
26,부산시,571855100,62141,2021-02-12,,
27,부산시,460860670,52741,2021-02-19,,
28,부산시,539104860,59643,2021-02-26,,
29,부산시,513370590,56521,2021-03-05,,
30,부산시,513370590,56521,2021-03-12,45868.0,0.0
31,부산시,438756130,48866,2021-03-19,50988.0,0.0
32,부산시,425217210,46215,2021-03-26,73571.0,245.0
33,부산시,522446130,60290,2021-04-02,83895.0,2388.0
34,부산시,395182360,43284,2021-04-09,96082.0,4161.0
35,부산시,314571750,35267,2021-04-16,121702.0,4161.0
36,부산시,390483590,42905,2021-04-23,174943.0,8592.0
37,부산시,445720640,51929,2021-04-30,223997.0,18249.0
38,부산시,321925980,35956,2021-05-07,231495.0,32353.0
39,부산시,691293590,74418,2021-05-14,233540.0,60033.0
40,부산시,814105630,90495,2021-05-21,254350.0,118935.0
41,부산시,733089700,79243,2021-05-28,470503.0,132160.0
42,부산시,780069950,82722,2021-06-04,713446.0,141696.0
43,부산시,679511920,71450,2021-06-11,996171.0,230090.0
44,부산시,858280140,89771,2021-06-18,1089840.0,285163.0
45,부산시,919900780,100109,2021-06-25,1100426.0,326829.0
