,지역,매출액,관객수,주,1차접종누계,2차접종누계
0,서울시,3361656490,368804,2020-08-16,,
1,서울시,2189550260,247399,2020-08-23,,
2,서울시,1842116650,200100,2020-08-30,,
3,서울시,1733144880,188395,2020-09-06,,
4,서울시,1571785690,172993,2020-09-13,,
5,서울시,1686750342,194747,2020-09-20,,
6,서울시,4365204790,464557,2020-09-27,,
7,서울시,2310220710,243950,2020-10-04,,
8,서울시,1635498260,175172,2020-10-11,,
9,서울시,2051049940,235614,2020-10-18,,
10,서울시,2345716060,266763,2020-10-25,,
11,서울시,2686707390,290238,2020-11-01,,
12,서울시,2595964430,284599,2020-11-08,,
13,서울시,2087858250,229587,2020-11-15,,
14,서울시,1340672930,155879,2020-11-22,,
15,서울시,978608420,116440,2020-11-29,,
16,서울시,752040660,87820,2020-12-06,,
17,서울시,606209800,71087,2020-12-13,,
18,서울시,1249933430,141279,2020-12-20,,
19,서울시,754663270,91153,2020-12-27,,
20,서울시,625176800,71052,2021-01-01,,
21,서울시,446257140,50249,2021-01-08,,
22,서울시,761371720,85940,2021-01-15,,
23,서울시,2050589220,230553,2021-01-22,,
24,서울시,2287327000,246303,2021-01-29,,
25,서울시,2358611200,247998,2021-02-05,,
26,서울시,2299673230,241331,2021-02-12,,
27,서울시,1955377880,215607,2021-02-19,,
28,서울시,2226500250,242385,2021-02-26,,
29,서울시,2370034110,245237,2021-03-05,,
30,서울시,2370034110,245237,2021-03-12,109536.0,0.0
31,서울시,2089378170,221908,2021-03-19,122249.0,1725.0
32,서울시,2156717370,223590,2021-03-26,141584.0,6227.0
33,서울시,2394668990,261118,2021-04-02,166563.0,12397.0
34,서울시,1826626560,193633,2021-04-09,195071.0,13502.0
35,서울시,1481982720,158687,2021-04-16,294555.0,13543.0
36,서울시,1709790330,183278,2021-04-23,438269.0,27699.0
37,서울시,1796128240,207101,2021-04-30,563044.0,47940.0
38,서울시,1365881880,148365,2021-05-07,600548.0,112781.0
39,서울시,2551193710,266485,2021-05-14,616705.0,175445.0
40,서울시,2886481360,310014,2021-05-21,650432.0,291118.0
41,서울시,3308331430,345848,2021-05-28,1165736.0,346936.0
42,서울시,3216698320,327510,2021-06-04,1746392.0,380200.0
43,서울시,3014873260,312236,2021-06-11,2554809.0,685532.0
44,서울시,3675390440,377430,2021-06-18,2802006.0,813666.0
45,서울시,3479932990,368983,2021-06-25,2833050.0,914519.0
