,일자,1차접종누계,2차접종누계,주간1차접종자수,주간2차접종자수
0,20210318,50988,0,10943,0
1,20210325,60664,62,9676,62
2,20210401,73571,245,12907,183
3,20210408,83895,2388,10324,2143
4,20210415,96082,4161,12187,1773
5,20210422,121702,4161,25620,0
6,20210429,174943,8592,53241,4431
7,20210506,223997,18249,49054,9657
8,20210513,231495,32353,7498,14104
9,20210520,233540,60033,2045,27680
10,20210527,254350,118935,20810,58902
11,20210603,470503,132160,216153,13225
12,20210610,713446,141696,242943,9536
13,20210617,996171,230090,282725,88394
14,20210624,1089840,285163,93669,55073
15,20210630,1100426,326829,10586,41666
