,일자,1차접종누계,2차접종누계,주간1차접종자수,주간2차접종자수
0,20210318,109536,0,35709,0
1,20210325,122249,1725,12713,1725
2,20210401,141584,6227,19335,4502
3,20210408,166563,12397,24979,6170
4,20210415,195071,13502,28508,1105
5,20210422,294555,13543,99484,41
6,20210429,438269,27699,143714,14156
7,20210506,563044,47940,124775,20241
8,20210513,600548,112781,37504,64841
9,20210520,616705,175445,16157,62664
10,20210527,650432,291118,33727,115673
11,20210603,1165736,346936,515304,55818
12,20210610,1746392,380200,580656,33264
13,20210617,2554809,685532,808417,305332
14,20210624,2802006,813666,247197,128134
15,20210630,2833050,914519,31044,100853
