■ 지역별 점유율,,,,,,,,,,,,
- 조회일: 2021-08-17,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,
▶ 검색조건 [ 조회기간 : 2021-05-13~2021-05-19 ],,,,,,,,,,,,
지역,한국영화,,,,외국영화,,,,전체,,,
,상영편수,매출액,관객수,점유율,상영편수,매출액,관객수,점유율,상영편수,매출액,관객수,점유율
서울시,43,"361,268,970","38,905",27.8%,112,"2,021,842,030","210,040",27.3%,155,"2,383,111,000","248,945",27.4%
경기도,26,"295,358,820","30,608",21.9%,50,"1,850,847,710","189,862",24.7%,76,"2,146,206,530","220,470",24.3%
부산시,25,"96,859,270","10,526",7.5%,54,"531,037,140","57,033",7.4%,79,"627,896,410","67,559",7.4%
대구시,21,"68,819,970","7,283",5.2%,33,"386,897,210","41,345",5.4%,54,"455,717,180","48,628",5.4%
인천시,21,"60,829,750","6,226",4.5%,40,"377,695,020","38,513",5.0%,61,"438,524,770","44,739",4.9%
경상남도,18,"51,440,830","5,740",4.1%,33,"329,580,400","36,315",4.7%,51,"381,021,230","42,055",4.6%
대전시,20,"49,698,260","5,124",3.7%,28,"261,418,470","27,186",3.5%,48,"311,116,730","32,310",3.6%
충청남도,18,"48,772,070","5,228",3.7%,46,"245,672,630","26,091",3.4%,64,"294,444,700","31,319",3.5%
광주시,22,"54,401,330","6,075",4.3%,27,"225,239,460","24,396",3.2%,49,"279,640,790","30,471",3.4%
경상북도,15,"40,882,030","4,514",3.2%,26,"211,936,380","23,359",3.0%,41,"252,818,410","27,873",3.1%
전라북도,25,"39,695,380","4,456",3.2%,29,"191,350,620","20,768",2.7%,54,"231,046,000","25,224",2.8%
충청북도,14,"38,242,620","4,231",3.0%,27,"189,550,510","20,205",2.6%,41,"227,793,130","24,436",2.7%
강원도,13,"29,693,190","3,444",2.5%,35,"139,043,720","15,203",2.0%,48,"168,736,910","18,647",2.1%
울산시,13,"22,111,920","2,418",1.7%,24,"143,560,070","14,809",1.9%,37,"165,671,990","17,227",1.9%
전라남도,13,"27,252,060","2,808",2.0%,19,"116,393,890","12,428",1.6%,32,"143,645,950","15,236",1.7%
제주도,9,"11,925,500","1,244",0.9%,17,"61,073,100","6,344",0.8%,26,"72,998,600","7,588",0.8%
세종시,11,"8,650,330","1,074",0.8%,17,"44,102,790","4,806",0.6%,28,"52,753,120","5,880",0.7%
합계,327,"1,305,902,300","139,904",100%,617,"7,327,241,150","768,703",100%,944,"8,633,143,450","908,607",100%
