,국내 운항편,국제 운항편,국내 여객자수,국제 여객자수
2019-01-01,17196,47052,3010227,11150854
2019-02-01,15725,42415,2560657,9363766
2019-03-01,16836,42977,3030454,10382079
2019-04-01,16211,41202,2872346,9836391
2019-05-01,16468,44181,2763642,10364235
2019-06-01,16079,45046,2551617,10575577
2019-07-01,14639,40827,2463130,9896855
2019-08-01,16042,44644,2542337,10097500
2019-09-01,15998,43296,2753960,10143008
2019-10-01,16924,45210,2870041,10302928
2019-11-01,16519,44658,2814523,10542118
2019-12-01,16712,46735,2748034,10711297
