,accumulatedFirstCnt,accumulatedSecondCnt,baseDate,firstCnt,secondCnt,sido,totalFirstCnt,totalSecondCnt
0,36734,0,2021-03-11 00:00:00,3311,0,부산광역시,40045,0
1,40159,0,2021-03-12 00:00:00,2620,0,부산광역시,42779,0
2,42863,0,2021-03-13 00:00:00,2748,0,부산광역시,45611,0
3,45681,0,2021-03-14 00:00:00,187,0,부산광역시,45868,0
4,45868,0,2021-03-15 00:00:00,0,0,부산광역시,45868,0
5,45936,0,2021-03-16 00:00:00,878,0,부산광역시,46814,0
6,46911,0,2021-03-17 00:00:00,1969,0,부산광역시,48880,0
7,49352,0,2021-03-18 00:00:00,1636,0,부산광역시,50988,0
8,51017,0,2021-03-19 00:00:00,1349,0,부산광역시,52366,0
9,52370,0,2021-03-20 00:00:00,1208,0,부산광역시,53578,0
10,53584,0,2021-03-21 00:00:00,46,0,부산광역시,53630,0
11,53630,0,2021-03-22 00:00:00,0,0,부산광역시,53630,0
12,53674,0,2021-03-23 00:00:00,287,0,부산광역시,53961,0
13,54369,0,2021-03-24 00:00:00,2444,0,부산광역시,56813,0
14,56908,0,2021-03-25 00:00:00,3756,62,부산광역시,60664,62
15,60861,62,2021-03-26 00:00:00,3211,48,부산광역시,64072,110
16,64310,110,2021-03-27 00:00:00,1863,52,부산광역시,66173,162
17,66232,162,2021-03-28 00:00:00,114,0,부산광역시,66346,162
18,66346,162,2021-03-29 00:00:00,0,0,부산광역시,66346,162
19,66498,162,2021-03-30 00:00:00,2420,44,부산광역시,68918,206
20,69111,206,2021-03-31 00:00:00,2272,39,부산광역시,71383,245
21,71617,245,2021-04-01 00:00:00,1954,0,부산광역시,73571,245
22,73717,245,2021-04-02 00:00:00,2321,0,부산광역시,76038,245
23,76066,245,2021-04-03 00:00:00,2456,0,부산광역시,78522,245
24,78522,245,2021-04-04 00:00:00,89,0,부산광역시,78611,245
25,78611,245,2021-04-05 00:00:00,0,0,부산광역시,78611,245
26,78624,245,2021-04-06 00:00:00,1707,0,부산광역시,80331,245
27,80374,245,2021-04-07 00:00:00,1873,953,부산광역시,82247,1198
28,82302,1198,2021-04-08 00:00:00,1593,1190,부산광역시,83895,2388
