,accumulatedFirstCnt,accumulatedSecondCnt,baseDate,firstCnt,secondCnt,sido,totalFirstCnt,totalSecondCnt
0,23101,0,2021-03-11 00:00:00,2310,0,대구광역시,25411,0
1,25500,0,2021-03-12 00:00:00,1834,0,대구광역시,27334,0
2,27449,0,2021-03-13 00:00:00,1435,0,대구광역시,28884,0
3,28884,0,2021-03-14 00:00:00,134,0,대구광역시,29018,0
4,29018,0,2021-03-15 00:00:00,10,0,대구광역시,29028,0
5,29134,0,2021-03-16 00:00:00,358,0,대구광역시,29492,0
6,29636,0,2021-03-17 00:00:00,447,0,대구광역시,30083,0
7,30095,0,2021-03-18 00:00:00,1045,0,대구광역시,31140,0
8,31143,0,2021-03-19 00:00:00,768,0,대구광역시,31911,0
9,31912,0,2021-03-20 00:00:00,670,0,대구광역시,32582,0
10,32631,0,2021-03-21 00:00:00,223,0,대구광역시,32854,0
11,32854,0,2021-03-22 00:00:00,0,0,대구광역시,32854,0
12,32948,0,2021-03-23 00:00:00,166,0,대구광역시,33114,0
13,33245,0,2021-03-24 00:00:00,840,0,대구광역시,34085,0
14,34109,0,2021-03-25 00:00:00,1159,217,대구광역시,35268,217
15,35324,217,2021-03-26 00:00:00,1207,202,대구광역시,36531,419
16,36557,419,2021-03-27 00:00:00,781,240,대구광역시,37338,659
17,37348,659,2021-03-28 00:00:00,16,0,대구광역시,37364,659
18,37364,659,2021-03-29 00:00:00,0,0,대구광역시,37364,659
19,37367,659,2021-03-30 00:00:00,927,0,대구광역시,38294,659
20,38343,659,2021-03-31 00:00:00,998,0,대구광역시,39341,659
21,39467,659,2021-04-01 00:00:00,831,0,대구광역시,40298,659
22,40375,659,2021-04-02 00:00:00,940,140,대구광역시,41315,799
23,41329,799,2021-04-03 00:00:00,1593,151,대구광역시,42922,950
24,42922,950,2021-04-04 00:00:00,89,0,대구광역시,43011,950
25,43011,950,2021-04-05 00:00:00,114,0,대구광역시,43125,950
26,43152,950,2021-04-06 00:00:00,1278,0,대구광역시,44430,950
27,44481,950,2021-04-07 00:00:00,1206,0,대구광역시,45687,950
28,45739,950,2021-04-08 00:00:00,1183,437,대구광역시,46922,1387
29,47018,1387,2021-04-09 00:00:00,1805,679,대구광역시,48823,2066
30,48844,2066,2021-04-10 00:00:00,1884,678,대구광역시,50728,2744
31,50728,2744,2021-04-11 00:00:00,0,202,대구광역시,50728,2946
32,50728,2946,2021-04-12 00:00:00,0,0,대구광역시,50728,2946
33,50728,2946,2021-04-13 00:00:00,2034,0,대구광역시,52762,2946
34,52763,2946,2021-04-14 00:00:00,2100,0,대구광역시,54863,2946
35,54937,2946,2021-04-15 00:00:00,1493,0,대구광역시,56430,2946
36,56463,2946,2021-04-16 00:00:00,3205,0,대구광역시,59668,2946
37,59707,2946,2021-04-17 00:00:00,3708,0,대구광역시,63415,2946
38,63432,2946,2021-04-18 00:00:00,1158,0,대구광역시,64590,2946
39,64590,2946,2021-04-19 00:00:00,1040,0,대구광역시,65630,2946
40,65651,2946,2021-04-20 00:00:00,4354,0,대구광역시,70005,2946
41,70050,2946,2021-04-21 00:00:00,4624,0,대구광역시,74674,2946
42,74759,2946,2021-04-22 00:00:00,3962,0,대구광역시,78721,2946
43,78746,2946,2021-04-23 00:00:00,5386,500,대구광역시,84132,3446
44,84187,3446,2021-04-24 00:00:00,6800,497,대구광역시,90987,3943
45,91029,3943,2021-04-25 00:00:00,3569,0,대구광역시,94598,3943
46,94598,3943,2021-04-26 00:00:00,735,111,대구광역시,95333,4054
47,95366,4054,2021-04-27 00:00:00,5905,514,대구광역시,101271,4568
48,101368,4568,2021-04-28 00:00:00,7287,533,대구광역시,108655,5101
49,108669,5101,2021-04-29 00:00:00,9125,536,대구광역시,117794,5637
50,118177,5637,2021-04-30 00:00:00,10926,1467,대구광역시,129103,7104
51,129775,7104,2021-05-01 00:00:00,11692,1604,대구광역시,141467,8708
52,142157,8708,2021-05-02 00:00:00,2336,1,대구광역시,144493,8709
53,144692,8709,2021-05-03 00:00:00,655,0,대구광역시,145347,8709
54,145365,8709,2021-05-04 00:00:00,2816,1765,대구광역시,148181,10474
55,148186,10474,2021-05-05 00:00:00,2055,1673,대구광역시,150241,12147
56,151187,12147,2021-05-06 00:00:00,726,1104,대구광역시,151913,13251
57,151970,13254,2021-05-07 00:00:00,2064,2375,대구광역시,154034,15629
58,154493,15630,2021-05-08 00:00:00,1894,2487,대구광역시,156387,18117
59,156391,18117,2021-05-09 00:00:00,571,1079,대구광역시,156962,19196
60,156962,19196,2021-05-10 00:00:00,0,1028,대구광역시,156962,20224
61,157126,20230,2021-05-11 00:00:00,284,2675,대구광역시,157410,22905
62,157592,22905,2021-05-12 00:00:00,100,2666,대구광역시,157692,25571
63,157806,25571,2021-05-13 00:00:00,68,2134,대구광역시,157874,27705
64,157898,27704,2021-05-14 00:00:00,73,3398,대구광역시,157971,31102
65,158036,31102,2021-05-15 00:00:00,48,3518,대구광역시,158084,34620
66,158112,34620,2021-05-16 00:00:00,9,1794,대구광역시,158121,36414
67,158116,36414,2021-05-17 00:00:00,3,584,대구광역시,158119,36998
68,158149,36998,2021-05-18 00:00:00,47,3729,대구광역시,158196,40727
69,158223,40811,2021-05-19 00:00:00,119,6011,대구광역시,158342,46822
70,158336,46900,2021-05-20 00:00:00,15,4565,대구광역시,158351,51465
71,158375,51466,2021-05-21 00:00:00,118,8803,대구광역시,158493,60269
72,158615,60384,2021-05-22 00:00:00,278,10810,대구광역시,158893,71194
73,158908,71458,2021-05-23 00:00:00,19,1366,대구광역시,158927,72824
74,158928,72852,2021-05-24 00:00:00,5,1072,대구광역시,158933,73924
75,158944,74093,2021-05-25 00:00:00,2122,4540,대구광역시,161066,78633
76,161085,78842,2021-05-26 00:00:00,2617,4250,대구광역시,163702,83092
77,163799,83221,2021-05-27 00:00:00,3886,3776,대구광역시,167685,86997
78,167716,87180,2021-05-28 00:00:00,25752,3402,대구광역시,193468,90582
79,193630,90635,2021-05-29 00:00:00,20741,4649,대구광역시,214371,95284
80,214412,95311,2021-05-30 00:00:00,6807,323,대구광역시,221219,95634
81,221216,95634,2021-05-31 00:00:00,90,9,대구광역시,221306,95643
82,221401,95667,2021-06-01 00:00:00,13922,1171,대구광역시,235323,96838
83,235373,96888,2021-06-02 00:00:00,22868,1221,대구광역시,258241,98109
84,258318,98109,2021-06-03 00:00:00,15688,929,대구광역시,274006,99038
85,274108,99061,2021-06-04 00:00:00,15047,896,대구광역시,289155,99957
86,289276,99958,2021-06-05 00:00:00,16202,630,대구광역시,305478,100588
87,305525,100588,2021-06-06 00:00:00,5368,57,대구광역시,310893,100645
88,310917,100645,2021-06-07 00:00:00,57,0,대구광역시,310974,100645
89,311098,100646,2021-06-08 00:00:00,34635,242,대구광역시,345733,100888
90,347273,100918,2021-06-09 00:00:00,29228,487,대구광역시,376501,101405
91,377871,101443,2021-06-10 00:00:00,24306,960,대구광역시,402177,102403
92,403996,102439,2021-06-11 00:00:00,30502,10334,대구광역시,434498,112773
93,435914,112821,2021-06-12 00:00:00,33748,8542,대구광역시,469662,121363
94,471088,121414,2021-06-13 00:00:00,17108,4770,대구광역시,488196,126184
95,488273,126219,2021-06-14 00:00:00,991,421,대구광역시,489264,126640
96,489379,126736,2021-06-15 00:00:00,33799,8476,대구광역시,523178,135212
97,524991,135300,2021-06-16 00:00:00,30390,7105,대구광역시,555381,142405
98,556934,142487,2021-06-17 00:00:00,25975,10780,대구광역시,582909,153267
99,584151,153350,2021-06-18 00:00:00,21896,5453,대구광역시,606047,158803
100,607187,158899,2021-06-19 00:00:00,20506,5640,대구광역시,627693,164539
101,629040,164595,2021-06-20 00:00:00,5542,2268,대구광역시,634582,166863
102,634591,166863,2021-06-21 00:00:00,151,0,대구광역시,634742,166863
103,634856,166991,2021-06-22 00:00:00,946,4578,대구광역시,635802,171569
104,637033,171603,2021-06-23 00:00:00,1388,4760,대구광역시,638421,176363
105,639214,176382,2021-06-24 00:00:00,1899,5413,대구광역시,641113,181795
106,641918,181828,2021-06-25 00:00:00,2312,5276,대구광역시,644230,187104
107,644976,187104,2021-06-26 00:00:00,3196,5087,대구광역시,648172,192191
108,649040,192224,2021-06-27 00:00:00,484,512,대구광역시,649524,192736
109,649515,192736,2021-06-28 00:00:00,0,0,대구광역시,649515,192736
110,649532,192789,2021-06-29 00:00:00,633,4402,대구광역시,650165,197191
111,650183,198549,2021-06-30 00:00:00,1004,4552,대구광역시,651187,203101
112,651183,204407,2021-07-01 00:00:00,754,5200,대구광역시,651937,209607
113,651943,210944,2021-07-02 00:00:00,79,3925,대구광역시,652022,214869
114,652032,216383,2021-07-03 00:00:00,343,3614,대구광역시,652375,219997
115,652416,221524,2021-07-04 00:00:00,28,905,대구광역시,652444,222429
116,652441,222477,2021-07-05 00:00:00,0,0,대구광역시,652441,222477
117,652446,222755,2021-07-06 00:00:00,4408,1372,대구광역시,656854,224127
118,656887,225558,2021-07-07 00:00:00,2953,2857,대구광역시,659840,228415
119,659863,229674,2021-07-08 00:00:00,2645,2660,대구광역시,662508,232334
120,662522,233457,2021-07-09 00:00:00,3467,3326,대구광역시,665989,236783
121,666057,237959,2021-07-10 00:00:00,3839,5179,대구광역시,669896,243138
122,669900,244505,2021-07-11 00:00:00,240,1507,대구광역시,670140,246012
123,670140,246027,2021-07-12 00:00:00,271,227,대구광역시,670411,246254
124,672905,250432,2021-07-14 00:00:00,4773,3863,대구광역시,677678,254295
125,677668,255213,2021-07-15 00:00:00,5169,4472,대구광역시,682837,259685
126,682851,260816,2021-07-16 00:00:00,5260,5341,대구광역시,688111,266157
127,688129,267306,2021-07-17 00:00:00,5248,6493,대구광역시,693377,273799
128,693414,274747,2021-07-18 00:00:00,292,1606,대구광역시,693706,276353
129,693713,276376,2021-07-19 00:00:00,15,23,대구광역시,693728,276399
130,693934,276423,2021-07-20 00:00:00,6746,1944,대구광역시,700680,278367
131,670415,246303,2021-07-13 00:00:00,2472,2902,대구광역시,672887,249205
132,700691,279253,2021-07-21 00:00:00,5958,1789,대구광역시,706649,281042
133,706669,281513,2021-07-22 00:00:00,6456,1507,대구광역시,713125,283020
134,713134,283614,2021-07-23 00:00:00,7547,2443,대구광역시,720681,286057
135,720683,286728,2021-07-24 00:00:00,6693,2864,대구광역시,727376,289592
136,727384,289634,2021-07-25 00:00:00,913,525,대구광역시,728297,290159
137,728297,290159,2021-07-26 00:00:00,19,5,대구광역시,728316,290164
138,728357,290191,2021-07-27 00:00:00,26253,4325,대구광역시,754610,294516
139,754762,294838,2021-07-28 00:00:00,16201,3338,대구광역시,770963,298176
140,770983,298374,2021-07-29 00:00:00,24325,2683,대구광역시,795308,301057
141,795429,301174,2021-07-30 00:00:00,17297,3227,대구광역시,812726,304401
142,812981,304663,2021-07-31 00:00:00,23171,4155,대구광역시,836152,308818
143,836263,308862,2021-08-01 00:00:00,10673,197,대구광역시,846936,309059
144,846948,309059,2021-08-02 00:00:00,1334,255,대구광역시,848282,309314
145,848397,309317,2021-08-03 00:00:00,22726,2688,대구광역시,871123,312005
146,871232,312010,2021-08-04 00:00:00,10980,4880,대구광역시,882212,316890
147,882270,316909,2021-08-05 00:00:00,8152,5430,대구광역시,890422,322339
148,890483,322342,2021-08-06 00:00:00,9299,5889,대구광역시,899782,328231
149,899857,328254,2021-08-07 00:00:00,13258,6314,대구광역시,913115,334568
150,913189,334636,2021-08-08 00:00:00,6047,396,대구광역시,919236,335032
151,919243,335032,2021-08-09 00:00:00,1759,39,대구광역시,921002,335071
152,921066,335078,2021-08-10 00:00:00,20962,7141,대구광역시,942028,342219
153,942122,342224,2021-08-11 00:00:00,12498,6729,대구광역시,954620,348953
154,954806,348974,2021-08-12 00:00:00,8035,7252,대구광역시,962841,356226
155,962964,356251,2021-08-13 00:00:00,7891,29282,대구광역시,970855,385533
156,971042,385600,2021-08-14 00:00:00,13214,23540,대구광역시,984256,409140
157,817526,244172,2021-08-15 00:00:00,7914,6859,대구광역시,825440,251031
158,992275,416043,2021-08-16 00:00:00,1020,108,대구광역시,993295,416151
159,993348,416153,2021-08-17 00:00:00,33030,8335,대구광역시,1026378,424488
