■ 지역별 점유율,,,,,,,,,,,,
- 조회일: 2021-08-17,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,
▶ 검색조건 [ 조회기간 : 2020-09-20~2020-09-26 ],,,,,,,,,,,,
지역,한국영화,,,,외국영화,,,,전체,,,
,상영편수,매출액,관객수,점유율,상영편수,매출액,관객수,점유율,상영편수,매출액,관객수,점유율
서울시,53,"694,065,492","85,633",30.2%,80,"992,684,850","109,114",34.7%,133,"1,686,750,342","194,747",32.5%
경기도,26,"493,546,550","57,639",20.3%,47,"626,817,160","70,792",22.5%,73,"1,120,363,710","128,431",21.5%
부산시,15,"179,820,800","21,498",7.6%,33,"189,623,620","21,972",7.0%,48,"369,444,420","43,470",7.3%
대구시,19,"137,594,880","16,382",5.8%,31,"128,384,930","14,815",4.7%,50,"265,979,810","31,197",5.2%
인천시,14,"118,193,930","13,760",4.9%,26,"127,057,480","14,696",4.7%,40,"245,251,410","28,456",4.8%
경상남도,26,"123,911,230","14,846",5.2%,26,"117,943,330","13,893",4.4%,52,"241,854,560","28,739",4.8%
대전시,17,"84,194,300","9,953",3.5%,30,"89,109,190","10,211",3.2%,47,"173,303,490","20,164",3.4%
충청남도,13,"76,285,630","9,143",3.2%,33,"72,723,000","8,499",2.7%,46,"149,008,630","17,642",3.0%
광주시,20,"75,455,650","9,190",3.2%,26,"75,573,540","8,656",2.8%,46,"151,029,190","17,846",3.0%
경상북도,14,"67,116,050","8,121",2.9%,22,"56,371,850","6,742",2.1%,36,"123,487,900","14,863",2.5%
충청북도,13,"58,958,800","7,145",2.5%,23,"57,899,040","6,977",2.2%,36,"116,857,840","14,122",2.4%
전라북도,14,"62,604,870","7,644",2.7%,23,"59,354,880","6,920",2.2%,37,"121,959,750","14,564",2.4%
강원도,13,"45,757,620","5,446",1.9%,28,"50,541,910","5,936",1.9%,41,"96,299,530","11,382",1.9%
울산시,11,"51,180,020","6,133",2.2%,16,"48,052,200","5,256",1.7%,27,"99,232,220","11,389",1.9%
전라남도,13,"47,352,760","5,964",2.1%,11,"41,136,610","5,044",1.6%,24,"88,489,370","11,008",1.8%
제주도,11,"30,015,600","3,517",1.2%,11,"29,602,000","3,396",1.1%,22,"59,617,600","6,913",1.2%
세종시,7,"13,802,230","1,715",0.6%,9,"16,385,460","2,006",0.6%,16,"30,187,690","3,721",0.6%
합계,299,"2,359,856,412","283,729",100%,475,"2,779,261,050","314,925",100%,774,"5,139,117,462","598,654",100%
