,Unnamed: 0,지역,매출액,관객수,주,거리두기
1,5,서울시,2370034110,245237,2021-03-12,2
2,5,서울시,2089378170,221908,2021-03-19,2
3,5,서울시,2156717370,223590,2021-03-26,2
4,5,서울시,2394668990,261118,2021-04-02,2
5,5,서울시,1826626560,193633,2021-04-09,2
6,5,서울시,1481982720,158687,2021-04-16,2
7,5,서울시,1709790330,183278,2021-04-23,2
8,5,서울시,1796128240,207101,2021-04-30,2
9,5,서울시,2713673630,290264,2021-05-07,2
10,5,서울시,1365881880,148365,2021-05-14,2
11,5,서울시,2551193710,266485,2021-05-21,2
12,5,서울시,2886481360,310014,2021-05-28,2
13,5,서울시,3308331430,345848,2021-06-04,2
14,5,서울시,3216698320,327510,2021-06-11,2
15,5,서울시,3014873260,312236,2021-06-18,2
16,5,서울시,3675390440,377430,2021-06-25,2
