연도월별,개봉편수,상영편수,매출액,관객수
2019-01,147,369,"151,161,478,196","18,122,443"
2019-02,114,318,"189,990,807,970","22,277,733"
2019-03,142,375,"126,559,017,449","14,671,693"
2019-04,155,436,"113,184,664,392","13,338,962"
2019-05,152,458,"154,563,004,957","18,062,457"
2019-06,153,457,"195,237,798,708","22,845,579"
2019-07,158,424,"184,101,302,717","21,916,465"
2019-08,181,436,"208,958,173,044","24,786,121"
2019-09,166,425,"124,445,262,708","14,733,642"
2019-10,215,504,"123,754,715,700","14,858,383"
2019-11,174,596,"155,388,033,415","18,600,679"
2019-12,186,566,"186,644,820,812","22,464,620"
