"상품군별","운영형태별",2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02,2020. 03,2020. 04,2020. 05,2020. 06,2020. 07,2020. 08,2020. 09,2020. 10,2020. 11,2020. 12,2021. 01,2021. 02,2021. 03,2021. 04,2021. 05 p),2021. 06 p)
"합계","계",10811796,9666871,11296239,10763785,11374817,10725166,11302975,11418155,11397646,12008033,12991605,12843750,12308866,11945935,12575341,12053828,12748344,12678358,12966841,13496390,13857627,13884207,15031417,15891202,15069277,13915804,15954632,15136515,16096176,15655839
"합계","Online몰",7077518,6358921,7521298,7155780,7719682,7192558,7597305,7687987,7625283,7987096,8833596,8660743,8278433,8494352,9191063,8842272,9432291,9155837,9539829,9921490,10100853,10121126,10974443,11859561,11140521,10403719,11725917,11357518,11917578,11439209
"합계","On/Offline몰",3734278,3307950,3774941,3608006,3655135,3532609,3705670,3730168,3772363,4020937,4158009,4183008,4030433,3451583,3384279,3211556,3316052,3522521,3427013,3574900,3756774,3763081,4056974,4031641,3928756,3512084,4228715,3778997,4178599,4216630
"컴퓨터 및 주변기기","계",561512,542469,532496,469169,440108,389195,443122,447965,435676,445118,528007,554877,540234,608666,681731,634777,583994,525958,600372,579298,606888,551700,649088,786829,791018,785277,861298,684698,663611,610723
"컴퓨터 및 주변기기","Online몰",436313,426984,418155,360529,350686,294300,352720,349438,346125,348223,431756,442166,416053,481430,531982,481289,425381,384880,438771,446757,450105,406651,489238,559332,538769,545321,544854,472406,490404,408465
"컴퓨터 및 주변기기","On/Offline몰",125200,115485,114341,108640,89422,94895,90402,98526,89551,96895,96251,112711,124180,127236,149749,153488,158613,141078,161601,132541,156783,145049,159851,227498,252249,239956,316445,212292,173208,202257
"가전·전자·통신기기","계",1063081,982059,1324884,1134227,1296165,1177804,1230419,1198465,1096363,1200192,1357353,1213392,1133998,1334641,1408598,1334302,1548029,1518651,1390898,1637033,1416798,1612744,1929767,1872713,1873128,1655248,1725923,1683018,1851418,1786300
"가전·전자·통신기기","Online몰",798938,751814,997448,846372,987212,920633,957882,948590,878344,922477,1067661,949474,866987,1028257,1081072,1046037,1223422,1178701,1113667,1329443,1149490,1268760,1492625,1464087,1475448,1284450,1330547,1316866,1430960,1387903
"가전·전자·통신기기","On/Offline몰",264142,230245,327436,287854,308952,257171,272538,249875,218020,277715,289692,263917,267010,306384,327526,288265,324607,339950,277231,307590,267307,343983,437141,408627,397680,370797,395376,366152,420459,398397
"서적","계",173949,154317,196741,147909,133322,122458,156406,154251,147118,133779,147454,178831,171425,190534,262404,205572,170009,170719,187112,202952,220562,170189,197066,266447,258758,213900,270967,195381,186464,184077
"서적","Online몰",60573,56601,64487,51414,50401,41539,52883,55695,50311,46070,57225,65313,63619,76045,94802,80800,67548,63228,71768,80223,82758,65507,84322,105645,101055,87813,98768,73788,76346,72301
"서적","On/Offline몰",113376,97716,132254,96495,82921,80919,103524,98557,96808,87710,90229,113518,107806,114489,167601,124771,102460,107491,115343,122729,137805,104682,112745,160802,157702,126086,172199,121593,110118,111776
"사무·문구","계",79764,71208,81741,80638,72149,63607,69488,69003,69440,78616,85392,103299,80501,90243,90968,83473,83975,81865,85045,75108,87363,94473,102669,131754,99094,94158,112341,102809,91005,89591
"사무·문구","Online몰",61798,54979,65119,63303,56306,49628,53735,53013,55170,62290,65148,81014,60914,69887,70578,65113,66053,64657,67575,58292,67893,73794,80448,104450,76921,70100,85191,76916,69114,65916
"사무·문구","On/Offline몰",17966,16229,16622,17335,15843,13979,15753,15989,14270,16326,20244,22284,19586,20356,20390,18360,17922,17208,17470,16815,19471,20679,22221,27304,22173,24057,27151,25893,21891,23674
"의복","계",1107321,959743,1238235,1204083,1278281,1133621,1139671,912495,1187128,1413279,1710042,1462342,1040353,949352,1173379,1162388,1343403,1323317,1105548,915563,1149298,1597835,1757900,1497038,1090709,1008665,1475747,1396195,1398149,1400714
"의복","Online몰",759092,653904,846967,820246,888995,788439,797536,619626,754991,894287,1096490,935701,636660,586384,751898,755017,905093,882170,754581,586081,730266,1000124,1101620,897389,684633,635627,948952,901129,911553,896720
"의복","On/Offline몰",348229,305839,391268,383838,389286,345182,342135,292870,432137,518992,613552,526641,403693,362968,421481,407371,438310,441147,350967,329482,419033,597711,656279,599650,406076,373038,526794,495066,486596,503994
"신발","계",159646,156431,206810,204171,217438,211418,205065,162540,201008,212645,251485,231875,180831,191538,227270,226645,284134,284285,246380,202283,216332,256027,292241,271437,202386,212108,276161,251014,285444,298718
"신발","Online몰",93192,93309,125838,123636,136023,126874,124393,98120,107350,118268,136890,119647,99600,106666,115812,114056,142276,136620,121391,96817,100316,122374,141894,121244,89823,101079,143992,126271,145980,140242
"신발","On/Offline몰",66453,63122,80973,80535,81416,84544,80672,64420,93658,94377,114595,112228,81231,84872,111458,112589,141858,147665,124989,105466,116016,133653,150347,150194,112563,111029,132169,124743,139464,158476
"가방","계",202289,211934,230083,218640,225132,210523,209939,222228,228842,235527,232236,245214,211105,210768,220548,200043,226162,241128,240048,226027,223559,234801,247393,248491,228165,240570,285813,275407,274149,258474
"가방","Online몰",133080,140042,155774,149705,153989,143763,141072,152088,153861,156548,158982,165954,135304,141100,160358,145144,164571,176614,182918,164946,162090,175150,188880,189680,170825,176337,213049,208925,204718,192898
"가방","On/Offline몰",69209,71893,74309,68935,71143,66760,68867,70140,74981,78979,73254,79260,75800,69667,60190,54899,61591,64513,57130,61080,61469,59650,58513,58811,57339,64232,72764,66482,69431,65576
