,지역,매출액,관객수,주
7,부산시,"133,154,520","15,720",2021-03-11
7,부산시,"133,154,520","15,720",2021-03-11
7,부산시,"90,327,570","10,890",2021-03-18
7,부산시,"139,130,900","16,832",2021-03-25
7,부산시,"381,529,810","45,703",2021-04-01
7,부산시,"467,990,770","52,508",2021-04-08
7,부산시,"553,603,860","60,887",2021-04-15
7,부산시,"571,855,100","62,141",2021-04-22
7,부산시,"460,860,670","52,741",2021-04-29
7,부산시,"539,104,860","59,643",2021-05-06
7,부산시,"513,370,590","56,521",2021-05-13
7,부산시,"438,756,130","48,866",2021-05-20
7,부산시,"425,217,210","46,215",2021-05-27
7,부산시,"522,446,130","60,290",2021-06-03
7,부산시,"395,182,360","43,284",2021-06-10
7,부산시,"314,571,750","35,267",2021-06-17
7,부산시,"390,483,590","42,905",2021-06-24
