,지역,매출액,관객수,주
5,서울시,"625,176,800","71,052",2021-03-11
5,서울시,"625,176,800","71,052",2021-03-11
5,서울시,"446,257,140","50,249",2021-03-18
5,서울시,"761,371,720","85,940",2021-03-25
5,서울시,"2,050,589,220","230,553",2021-04-01
5,서울시,"2,287,327,000","246,303",2021-04-08
5,서울시,"2,358,611,200","247,998",2021-04-15
5,서울시,"2,299,673,230","241,331",2021-04-22
5,서울시,"1,955,377,880","215,607",2021-04-29
5,서울시,"2,226,500,250","242,385",2021-05-06
5,서울시,"2,370,034,110","245,237",2021-05-13
5,서울시,"2,089,378,170","221,908",2021-05-20
5,서울시,"2,156,717,370","223,590",2021-05-27
5,서울시,"2,394,668,990","261,118",2021-06-03
5,서울시,"1,826,626,560","193,633",2021-06-10
5,서울시,"1,481,982,720","158,687",2021-06-17
5,서울시,"1,709,790,330","183,278",2021-06-24
